Tier,Name,Date Made,
D,"  Hanna, Ship's Navigator",,
D,  Heartless Hidetsugu,,
D,"  Hogaak, Arisen Necropolis",,
D,"  Ishkanah, Grafwidow",,
D,"  Jalira, Master Polymorphist",,
D,  Jhoira of the Ghitu,,
D,"  Jori En, Ruin Diver",,
D,"  Kaho, Minamo Historian",,
D,"  Karador, Ghost Chieftain",,
D,"  Karametra, God of Harvests",,
D,  Karlov of the Ghost Council,,
D,"  Kelsien, the Plague",,
D,"  Keranos, God of Storms",,
D,"  Kestia, the Cultivator",,
D,"  Kiki-Jiki, Mirror Breaker",,
D,"  Klothys, God of Destiny",,
F,"  Adamaro, First to Desire",,
F,  Admiral Beckett Brass,,
F,  Adun Oakenshield,,
F,"  Akim, the Soaring Wind",,
F,"  Alexi, Zephyr Mage",,
F,"  Alirios, Enraptured",,
F,  Anax and Cymede,,
F,"  Anax, Hardened in the Forge",,
F,  Angus Mackenzie,,
F,"  Anowon, the Ruin Sage",,
F,"  Anya, Merciless Angel",,
F,"  Aphemia, the Cacophony",,
F,"  Arahbo, Roar of the World",,
F,"  Arcades, the Strategist",,
